21/08/1946|31/08/1979|10,00|12,00
01/09/1979|10/10/1979|19,00|21,00
11/10/1979|29/10/1990|23,00|25,00
30/10/1990|17/09/1992|32,00|34,00
18/09/1992|20/10/1992|42,00|44,00
21/10/1992|15/06/1993|37,00|39,00
16/06/1993|30/09/1993|31,00|33,00
01/10/1993|25/10/1993|34,00|36,00
26/10/1993|15/05/1994|32,00|34,00
16/05/1994|27/09/1994|35,00|37,00
28/09/1994|30/03/1995|32,00|34,00
31/03/1995|19/04/1995|30,00|32,00
20/04/1995|30/07/1995|28,00|30,00
31/07/1995|21/04/1996|27,00|29,00
22/04/1996|22/08/1996|26,00|28,00
23/08/1996|16/02/1997|23,00|25,00
17/02/1997|12/05/1997|22,00|24,00
13/05/1997|08/01/1998|21,00|23,00
09/01/1998|30/03/1998|25,00|27,00
31/03/1998|04/08/1998|21,00|23,00
05/08/1998|13/01/1999|21,00|23,00
14/01/1999|16/01/2000|19,00|21,00
17/01/2000|26/01/2000|16,50|18,50
27/01/2000|08/03/2000|16,00|18,00
09/03/2000|19/04/2000|15,25|17,25
20/04/2000|28/06/2000|14,50|16,50
29/06/2000|05/09/2000|14,00|16,00
06/09/2000|14/11/2000|13,25|15,25
15/11/2000|28/11/2000|12,75|14,75
29/11/2000|12/12/2000|12,25|14,25
13/12/2000|26/12/2000|11,50|13,50
27/12/2000|10/05/2001|10,75|12,75
11/05/2001|30/08/2001|10,50|12,50
31/08/2001|17/09/2001|10,25|12,25
18/09/2001|08/11/2001|9,75|11,75
09/11/2001|05/12/2002|9,25|11,25
06/12/2002|06/03/2003|8,75|10,75
07/03/2003|05/06/2003|8,50|10,50
06/06/2003|05/12/2005|8,00|10,00
06/12/2005|07/03/2006|8,25|10,25
08/03/2006|14/06/2006|8,50|10,50
15/06/2006|08/08/2006|8,75|10,75
09/08/2006|10/10/2006|9,00|11,00
11/10/2006|12/12/2006|9,25|11,25
13/12/2006|13/03/2007|9,50|11,50
14/03/2007|12/06/2007|9,75|11,75
13/06/2007|08/07/2008|10,0|12,00
09/07/2008|07/10/2008|10,2|12,25
08/10/2008|08/10/2008|9,75|11,75
09/10/2008|11/11/2008|9,25|11,25
12/11/2008|09/12/2008|8,75|10,75
10/12/2008|10/03/2009|8,00|10,00
11/03/2009|07/04/2009|7,50|9,50	
08/04/2009|12/05/2009|7,25|9,25	
13/05/2009|12/04/2011|6,75|8,75	
13/04/2011|12/07/2011|7,00|9,00	
13/07/2011|08/11/2011|7,25|9,25	
09/11/2011|13/12/2011|7,00|9,00	
14/12/2011|10/07/2012|6,75|8,75	
11/07/2012|07/05/2013|6,50|8,50	
08/05/2013|12/11/2013|6,00|8,00	
13/11/2013|10/06/2014|5,75|7,75	
11/06/2014|09/09/2014|5,40|7,40	
10/09/2014|15/03/2016|5,30|7,30	
16/03/2016|20/9/2019|5,25|7,25	
